#index	label	wavelength	comment
1068	nInu                19.6146m		# type: i, transmitted and reflected incident continuum at selected energy points 
1069	InwT                19.6146m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1070	InwC                19.6146m		# type: i, reflected incident continuum (only incident) 
1071	nFnu                17.6486m		# type: i, total continuum at selected energy points 
1072	nInu                17.6486m		# type: i, transmitted and reflected incident continuum at selected energy points 
1073	InwT                17.6486m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1074	InwC                17.6486m		# type: i, reflected incident continuum (only incident) 
1075	nFnu                17.3653m		# type: i, total continuum at selected energy points 
1076	nInu                17.3653m		# type: i, transmitted and reflected incident continuum at selected energy points 
1077	InwT                17.3653m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1078	InwC                17.3653m		# type: i, reflected incident continuum (only incident) 
1079	nFnu                15.6859m		# type: i, total continuum at selected energy points 
1080	nInu                15.6859m		# type: i, transmitted and reflected incident continuum at selected energy points 
1081	InwT                15.6859m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1082	InwC                15.6859m		# type: i, reflected incident continuum (only incident) 
1083	nFnu                14.5997m		# type: i, total continuum at selected energy points 
1084	nInu                14.5997m		# type: i, transmitted and reflected incident continuum at selected energy points 
1085	InwT                14.5997m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1086	InwC                14.5997m		# type: i, reflected incident continuum (only incident) 
1087	nFnu                12.4266m		# type: i, total continuum at selected energy points 
1088	nInu                12.4266m		# type: i, transmitted and reflected incident continuum at selected energy points 
1089	InwT                12.4266m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1090	InwC                12.4266m		# type: i, reflected incident continuum (only incident) 
1091	nFnu                11.3969m		# type: i, total continuum at selected energy points 
1092	nInu                11.3969m		# type: i, transmitted and reflected incident continuum at selected energy points 
1093	InwT                11.3969m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1094	InwC                11.3969m		# type: i, reflected incident continuum (only incident) 
1095	nFnu                10.4572m		# type: i, total continuum at selected energy points 
1096	nInu                10.4572m		# type: i, transmitted and reflected incident continuum at selected energy points 
1097	InwT                10.4572m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1098	InwC                10.4572m		# type: i, reflected incident continuum (only incident) 
1099	nFnu                9.47744m		# type: i, total continuum at selected energy points 
1100	nInu                9.47744m		# type: i, transmitted and reflected incident continuum at selected energy points 
1101	InwT                9.47744m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1102	InwC                9.47744m		# type: i, reflected incident continuum (only incident) 
1103	nFnu                9.32234m		# type: i, total continuum at selected energy points 
1104	nInu                9.32234m		# type: i, transmitted and reflected incident continuum at selected energy points 
1105	InwT                9.32234m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1106	InwC                9.32234m		# type: i, reflected incident continuum (only incident) 
1107	nFnu                8.20812m		# type: i, total continuum at selected energy points 
1108	nInu                8.20812m		# type: i, transmitted and reflected incident continuum at selected energy points 
1109	InwT                8.20812m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1110	InwC                8.20812m		# type: i, reflected incident continuum (only incident) 
1111	nFnu                7.57793m		# type: i, total continuum at selected energy points 
1112	nInu                7.57793m		# type: i, transmitted and reflected incident continuum at selected energy points 
1113	InwT                7.57793m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1114	InwC                7.57793m		# type: i, reflected incident continuum (only incident) 
1115	nFnu                7.04834m		# type: i, total continuum at selected energy points 
1116	nInu                7.04834m		# type: i, transmitted and reflected incident continuum at selected energy points 
1117	InwT                7.04834m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1118	InwC                7.04834m		# type: i, reflected incident continuum (only incident) 
1119	nFnu                4.11258m		# type: i, total continuum at selected energy points 
1120	nInu                4.11258m		# type: i, transmitted and reflected incident continuum at selected energy points 
1121	InwT                4.11258m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1122	InwC                4.11258m		# type: i, reflected incident continuum (only incident) 
1123	nFnu                2.32377m		# type: i, total continuum at selected energy points 
1124	nInu                2.32377m		# type: i, transmitted and reflected incident continuum at selected energy points 
1125	InwT                2.32377m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1126	InwC                2.32377m		# type: i, reflected incident continuum (only incident) 
1127	nFnu                1.64268m		# type: i, total continuum at selected energy points 
1128	nInu                1.64268m		# type: i, transmitted and reflected incident continuum at selected energy points 
1129	InwT                1.64268m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1130	InwC                1.64268m		# type: i, reflected incident continuum (only incident) 
1131	nFnu                1.47981m		# type: i, total continuum at selected energy points 
1132	nInu                1.47981m		# type: i, transmitted and reflected incident continuum at selected energy points 
1133	InwT                1.47981m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1134	InwC                1.47981m		# type: i, reflected incident continuum (only incident) 
1135	nFnu                1.43610m		# type: i, total continuum at selected energy points 
1136	nInu                1.43610m		# type: i, transmitted and reflected incident continuum at selected energy points 
1137	InwT                1.43610m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1138	InwC                1.43610m		# type: i, reflected incident continuum (only incident) 
1139	nFnu                1.11836m		# type: i, total continuum at selected energy points 
1140	nInu                1.11836m		# type: i, transmitted and reflected incident continuum at selected energy points 
1141	InwT                1.11836m		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1142	InwC                1.11836m		# type: i, reflected incident continuum (only incident) 
1143	nFnu                8327.39A		# type: i, total continuum at selected energy points 
1144	nInu                8327.39A		# type: i, transmitted and reflected incident continuum at selected energy points 
1145	InwT                8327.39A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1146	InwC                8327.39A		# type: i, reflected incident continuum (only incident) 
1147	nFnu                8076.39A		# type: i, total continuum at selected energy points 
1148	nInu                8076.39A		# type: i, transmitted and reflected incident continuum at selected energy points 
1149	InwT                8076.39A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1150	InwC                8076.39A		# type: i, reflected incident continuum (only incident) 
1151	nFnu                6207.94A		# type: i, total continuum at selected energy points 
1152	nInu                6207.94A		# type: i, transmitted and reflected incident continuum at selected energy points 
1153	InwT                6207.94A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1154	InwC                6207.94A		# type: i, reflected incident continuum (only incident) 
1155	nFnu                4884.00A		# type: i, total continuum at selected energy points 
1156	nInu                4884.00A		# type: i, transmitted and reflected incident continuum at selected energy points 
1157	InwT                4884.00A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1158	InwC                4884.00A		# type: i, reflected incident continuum (only incident) 
1159	nFnu                3703.28A		# type: i, total continuum at selected energy points 
1160	nInu                3703.28A		# type: i, transmitted and reflected incident continuum at selected energy points 
1161	InwT                3703.28A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1162	InwC                3703.28A		# type: i, reflected incident continuum (only incident) 
1163	nFnu                3586.64A		# type: i, total continuum at selected energy points 
1164	nInu                3586.64A		# type: i, transmitted and reflected incident continuum at selected energy points 
1165	InwT                3586.64A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1166	InwC                3586.64A		# type: i, reflected incident continuum (only incident) 
1167	nFnu                2429.31A		# type: i, total continuum at selected energy points 
1168	nInu                2429.31A		# type: i, transmitted and reflected incident continuum at selected energy points 
1169	InwT                2429.31A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1170	InwC                2429.31A		# type: i, reflected incident continuum (only incident) 
1171	nFnu                2391.30A		# type: i, total continuum at selected energy points 
1172	nInu                2391.30A		# type: i, transmitted and reflected incident continuum at selected energy points 
1173	InwT                2391.30A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1174	InwC                2391.30A		# type: i, reflected incident continuum (only incident) 
1175	nFnu                2070.68A		# type: i, total continuum at selected energy points 
1176	nInu                2070.68A		# type: i, transmitted and reflected incident continuum at selected energy points 
1177	InwT                2070.68A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1178	InwC                2070.68A		# type: i, reflected incident continuum (only incident) 
1179	nFnu                2052.02A		# type: i, total continuum at selected energy points 
1180	nInu                2052.02A		# type: i, transmitted and reflected incident continuum at selected energy points 
1181	InwT                2052.02A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1182	InwC                2052.02A		# type: i, reflected incident continuum (only incident) 
1183	nFnu                1793.44A		# type: i, total continuum at selected energy points 
1184	nInu                1793.44A		# type: i, transmitted and reflected incident continuum at selected energy points 
1185	InwT                1793.44A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1186	InwC                1793.44A		# type: i, reflected incident continuum (only incident) 
1187	nFnu                1585.12A		# type: i, total continuum at selected energy points 
1188	nInu                1585.12A		# type: i, transmitted and reflected incident continuum at selected energy points 
1189	InwT                1585.12A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1190	InwC                1585.12A		# type: i, reflected incident continuum (only incident) 
1191	nFnu                1458.33A		# type: i, total continuum at selected energy points 
1192	nInu                1458.33A		# type: i, transmitted and reflected incident continuum at selected energy points 
1193	InwT                1458.33A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1194	InwC                1458.33A		# type: i, reflected incident continuum (only incident) 
1195	nFnu                1356.96A		# type: i, total continuum at selected energy points 
1196	nInu                1356.96A		# type: i, transmitted and reflected incident continuum at selected energy points 
1197	InwT                1356.96A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1198	InwC                1356.96A		# type: i, reflected incident continuum (only incident) 
1199	nFnu                1297.29A		# type: i, total continuum at selected energy points 
1200	nInu                1297.29A		# type: i, transmitted and reflected incident continuum at selected energy points 
1201	InwT                1297.29A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1202	InwC                1297.29A		# type: i, reflected incident continuum (only incident) 
1203	nFnu                1262.79A		# type: i, total continuum at selected energy points 
1204	nInu                1262.79A		# type: i, transmitted and reflected incident continuum at selected energy points 
1205	InwT                1262.79A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1206	InwC                1262.79A		# type: i, reflected incident continuum (only incident) 
1207	nFnu                1218.08A		# type: i, total continuum at selected energy points 
1208	nInu                1218.08A		# type: i, transmitted and reflected incident continuum at selected energy points 
1209	InwT                1218.08A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1210	InwC                1218.08A		# type: i, reflected incident continuum (only incident) 
1211	nFnu                1196.33A		# type: i, total continuum at selected energy points 
1212	nInu                1196.33A		# type: i, transmitted and reflected incident continuum at selected energy points 
1213	InwT                1196.33A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1214	InwC                1196.33A		# type: i, reflected incident continuum (only incident) 
1215	nFnu                1175.06A		# type: i, total continuum at selected energy points 
1216	nInu                1175.06A		# type: i, transmitted and reflected incident continuum at selected energy points 
1217	InwT                1175.06A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1218	InwC                1175.06A		# type: i, reflected incident continuum (only incident) 
1219	nFnu                1143.64A		# type: i, total continuum at selected energy points 
1220	nInu                1143.64A		# type: i, transmitted and reflected incident continuum at selected energy points 
1221	InwT                1143.64A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1222	InwC                1143.64A		# type: i, reflected incident continuum (only incident) 
1223	nFnu                1113.22A		# type: i, total continuum at selected energy points 
1224	nInu                1113.22A		# type: i, transmitted and reflected incident continuum at selected energy points 
1225	InwT                1113.22A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1226	InwC                1113.22A		# type: i, reflected incident continuum (only incident) 
1227	nFnu                1103.23A		# type: i, total continuum at selected energy points 
1228	nInu                1103.23A		# type: i, transmitted and reflected incident continuum at selected energy points 
1229	InwT                1103.23A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1230	InwC                1103.23A		# type: i, reflected incident continuum (only incident) 
1231	nFnu                1073.86A		# type: i, total continuum at selected energy points 
1232	nInu                1073.86A		# type: i, transmitted and reflected incident continuum at selected energy points 
1233	InwT                1073.86A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1234	InwC                1073.86A		# type: i, reflected incident continuum (only incident) 
1235	nFnu                1064.34A		# type: i, total continuum at selected energy points 
1236	nInu                1064.34A		# type: i, transmitted and reflected incident continuum at selected energy points 
1237	InwT                1064.34A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1238	InwC                1064.34A		# type: i, reflected incident continuum (only incident) 
1239	nFnu                1035.92A		# type: i, total continuum at selected energy points 
1240	nInu                1035.92A		# type: i, transmitted and reflected incident continuum at selected energy points 
1241	InwT                1035.92A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1242	InwC                1035.92A		# type: i, reflected incident continuum (only incident) 
1243	nFnu                1000.00A		# type: i, total continuum at selected energy points 
1244	nInu                1000.00A		# type: i, transmitted and reflected incident continuum at selected energy points 
1245	InwT                1000.00A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1246	InwC                1000.00A		# type: i, reflected incident continuum (only incident) 
1247	nFnu                925.144A		# type: i, total continuum at selected energy points 
1248	nInu                925.144A		# type: i, transmitted and reflected incident continuum at selected energy points 
1249	InwT                925.144A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1250	InwC                925.144A		# type: i, reflected incident continuum (only incident) 
1251	nFnu                897.800A		# type: i, total continuum at selected energy points 
1252	nInu                897.800A		# type: i, transmitted and reflected incident continuum at selected energy points 
1253	InwT                897.800A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1254	InwC                897.800A		# type: i, reflected incident continuum (only incident) 
1255	nFnu                760.023A		# type: i, total continuum at selected energy points 
1256	nInu                760.023A		# type: i, transmitted and reflected incident continuum at selected energy points 
1257	InwT                760.023A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1258	InwC                760.023A		# type: i, reflected incident continuum (only incident) 
1259	nFnu                701.514A		# type: i, total continuum at selected energy points 
1260	nInu                701.514A		# type: i, transmitted and reflected incident continuum at selected energy points 
1261	InwT                701.514A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1262	InwC                701.514A		# type: i, reflected incident continuum (only incident) 
1263	nFnu                608.160A		# type: i, total continuum at selected energy points 
1264	nInu                608.160A		# type: i, transmitted and reflected incident continuum at selected energy points 
1265	InwT                608.160A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1266	InwC                608.160A		# type: i, reflected incident continuum (only incident) 
1267	nFnu                575.146A		# type: i, total continuum at selected energy points 
1268	nInu                575.146A		# type: i, transmitted and reflected incident continuum at selected energy points 
1269	InwT                575.146A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1270	InwC                575.146A		# type: i, reflected incident continuum (only incident) 
1271	nFnu                511.948A		# type: i, total continuum at selected energy points 
1272	nInu                511.948A		# type: i, transmitted and reflected incident continuum at selected energy points 
1273	InwT                511.948A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1274	InwC                511.948A		# type: i, reflected incident continuum (only incident) 
1275	nFnu                496.874A		# type: i, total continuum at selected energy points 
1276	nInu                496.874A		# type: i, transmitted and reflected incident continuum at selected energy points 
1277	InwT                496.874A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1278	InwC                496.874A		# type: i, reflected incident continuum (only incident) 
1279	nFnu                399.153A		# type: i, total continuum at selected energy points 
1280	nInu                399.153A		# type: i, transmitted and reflected incident continuum at selected energy points 
1281	InwT                399.153A		# type: i, total reflected continuum, total inward emission plus reflected (diffuse) total continuum 
1282	InwC                399.153A		# type: i, reflected incident continuum (only incident) 
####	RRC............................................
1284	H  1                911.753A		# type: i, radiative recombination continuum
1285	H  1                3645.98A		# type: i, radiative recombination continuum
1286	H  1                3645.98A		# type: i, radiative recombination continuum
1287	H  1                8203.57A		# type: i, radiative recombination continuum
1288	H  1                8203.57A		# type: i, radiative recombination continuum
1289	H  1                8203.57A		# type: i, radiative recombination continuum
1290	H  1                1.45842m		# type: i, radiative recombination continuum
1291	H  1                1.45842m		# type: i, radiative recombination continuum
1292	H  1                1.45842m		# type: i, radiative recombination continuum
1293	H  1                1.45842m		# type: i, radiative recombination continuum
1294	H  1                2.27878m		# type: i, radiative recombination continuum
1295	H  1                2.27878m		# type: i, radiative recombination continuum
1296	H  1                2.27878m		# type: i, radiative recombination continuum
1297	H  1                2.27878m		# type: i, radiative recombination continuum
1298	H  1                2.27878m		# type: i, radiative recombination continuum
1299	H  1                3.28145m		# type: i, radiative recombination continuum
1300	H  1                3.28145m		# type: i, radiative recombination continuum
1301	H  1                3.28145m		# type: i, radiative recombination continuum
1302	H  1                3.28145m		# type: i, radiative recombination continuum
1303	H  1                3.28145m		# type: i, radiative recombination continuum
1304	H  1                3.28145m		# type: i, radiative recombination continuum
1305	H  1                4.46642m		# type: i, radiative recombination continuum
1306	H  1                4.46642m		# type: i, radiative recombination continuum
1307	H  1                4.46642m		# type: i, radiative recombination continuum
1308	H  1                4.46642m		# type: i, radiative recombination continuum
1309	H  1                4.46642m		# type: i, radiative recombination continuum
1310	H  1                4.46642m		# type: i, radiative recombination continuum
1311	H  1                4.46642m		# type: i, radiative recombination continuum
1312	H  1                5.83369m		# type: i, radiative recombination continuum
1313	H  1                5.83369m		# type: i, radiative recombination continuum
1314	H  1                5.83369m		# type: i, radiative recombination continuum
1315	H  1                5.83369m		# type: i, radiative recombination continuum
1316	H  1                5.83369m		# type: i, radiative recombination continuum
1317	H  1                5.83369m		# type: i, radiative recombination continuum
1318	H  1                5.83369m		# type: i, radiative recombination continuum
1319	H  1                5.83369m		# type: i, radiative recombination continuum
1320	H  1                7.38326m		# type: i, radiative recombination continuum
1321	H  1                7.38326m		# type: i, radiative recombination continuum
1322	H  1                7.38326m		# type: i, radiative recombination continuum
1323	H  1                7.38326m		# type: i, radiative recombination continuum
1324	H  1                7.38326m		# type: i, radiative recombination continuum
1325	H  1                7.38326m		# type: i, radiative recombination continuum
1326	H  1                7.38326m		# type: i, radiative recombination continuum
1327	H  1                7.38326m		# type: i, radiative recombination continuum
1328	H  1                7.38326m		# type: i, radiative recombination continuum
1329	H  1                9.11514m		# type: i, radiative recombination continuum
1330	H  1                9.11514m		# type: i, radiative recombination continuum
1331	H  1                9.11514m		# type: i, radiative recombination continuum
1332	H  1                9.11514m		# type: i, radiative recombination continuum
1333	H  1                9.11514m		# type: i, radiative recombination continuum
1334	H  1                9.11514m		# type: i, radiative recombination continuum
1335	H  1                9.11514m		# type: i, radiative recombination continuum
1336	H  1                9.11514m		# type: i, radiative recombination continuum
1337	H  1                9.11514m		# type: i, radiative recombination continuum
1338	H  1                9.11514m		# type: i, radiative recombination continuum
1339	H  1                11.0293m		# type: i, radiative recombination continuum
1340	H  1                13.1258m		# type: i, radiative recombination continuum
1341	H  1                15.4046m		# type: i, radiative recombination continuum
1342	H  1                17.8657m		# type: i, radiative recombination continuum
1343	H  1                20.5091m		# type: i, radiative recombination continuum
1344	H  1                23.3348m		# type: i, radiative recombination continuum
1345	H  1                26.3428m		# type: i, radiative recombination continuum
1346	H  1                29.5331m		# type: i, radiative recombination continuum
1347	H  1                32.9057m		# type: i, radiative recombination continuum
1348	H  1                36.4606m		# type: i, radiative recombination continuum
1349	H  1                40.1978m		# type: i, radiative recombination continuum
1350	H  1                44.1173m		# type: i, radiative recombination continuum
1351	H  1                48.2191m		# type: i, radiative recombination continuum
1352	H  1                52.5033m		# type: i, radiative recombination continuum
1353	H  1                56.9697m		# type: i, radiative recombination continuum
1354	He 2                227.838A		# type: i, radiative recombination continuum
1355	He 2                911.351A		# type: i, radiative recombination continuum
1356	He 2                911.351A		# type: i, radiative recombination continuum
1357	He 2                2049.91A		# type: i, radiative recombination continuum
1358	He 2                2049.91A		# type: i, radiative recombination continuum
1359	He 2                2049.91A		# type: i, radiative recombination continuum
1360	He 2                3644.44A		# type: i, radiative recombination continuum
1361	He 2                3644.44A		# type: i, radiative recombination continuum
1362	He 2                3644.44A		# type: i, radiative recombination continuum
1363	He 2                3644.44A		# type: i, radiative recombination continuum
1364	He 2                5694.49A		# type: i, radiative recombination continuum
1365	He 2                5694.49A		# type: i, radiative recombination continuum
1366	He 2                5694.49A		# type: i, radiative recombination continuum
1367	He 2                5694.49A		# type: i, radiative recombination continuum
1368	He 2                5694.49A		# type: i, radiative recombination continuum
1369	He 2                8200.12A		# type: i, radiative recombination continuum
1370	He 2                8200.12A		# type: i, radiative recombination continuum
1371	He 2                8200.12A		# type: i, radiative recombination continuum
1372	He 2                8200.12A		# type: i, radiative recombination continuum
1373	He 2                8200.12A		# type: i, radiative recombination continuum
1374	He 2                8200.12A		# type: i, radiative recombination continuum
1375	He 2                1.11613m		# type: i, radiative recombination continuum
1376	He 2                1.11613m		# type: i, radiative recombination continuum
1377	He 2                1.11613m		# type: i, radiative recombination continuum
1378	He 2                1.11613m		# type: i, radiative recombination continuum
1379	He 2                1.11613m		# type: i, radiative recombination continuum
1380	He 2                1.11613m		# type: i, radiative recombination continuum
1381	He 2                1.11613m		# type: i, radiative recombination continuum
1382	He 2                1.45781m		# type: i, radiative recombination continuum
1383	He 2                1.45781m		# type: i, radiative recombination continuum
1384	He 2                1.45781m		# type: i, radiative recombination continuum
1385	He 2                1.45781m		# type: i, radiative recombination continuum
1386	He 2                1.45781m		# type: i, radiative recombination continuum
1387	He 2                1.45781m		# type: i, radiative recombination continuum
1388	He 2                1.45781m		# type: i, radiative recombination continuum
1389	He 2                1.45781m		# type: i, radiative recombination continuum
1390	He 2                1.84504m		# type: i, radiative recombination continuum
1391	He 2                1.84504m		# type: i, radiative recombination continuum
1392	He 2                1.84504m		# type: i, radiative recombination continuum
1393	He 2                1.84504m		# type: i, radiative recombination continuum
1394	He 2                1.84504m		# type: i, radiative recombination continuum
1395	He 2                1.84504m		# type: i, radiative recombination continuum
1396	He 2                1.84504m		# type: i, radiative recombination continuum
1397	He 2                1.84504m		# type: i, radiative recombination continuum
1398	He 2                1.84504m		# type: i, radiative recombination continuum
1399	He 2                2.27783m		# type: i, radiative recombination continuum
1400	He 2                2.27783m		# type: i, radiative recombination continuum
1401	He 2                2.27783m		# type: i, radiative recombination continuum
1402	He 2                2.27783m		# type: i, radiative recombination continuum
1403	He 2                2.27783m		# type: i, radiative recombination continuum
1404	He 2                2.27783m		# type: i, radiative recombination continuum
1405	He 2                2.27783m		# type: i, radiative recombination continuum
1406	He 2                2.27783m		# type: i, radiative recombination continuum
1407	He 2                2.27783m		# type: i, radiative recombination continuum
1408	He 2                2.27783m		# type: i, radiative recombination continuum
1409	He 2                2.75620m		# type: i, radiative recombination continuum
1410	He 2                3.28011m		# type: i, radiative recombination continuum
1411	He 2                3.84958m		# type: i, radiative recombination continuum
1412	He 2                4.46460m		# type: i, radiative recombination continuum
1413	He 2                5.12518m		# type: i, radiative recombination continuum
1414	He 2                5.83131m		# type: i, radiative recombination continuum
1415	He 2                6.58301m		# type: i, radiative recombination continuum
1416	He 2                7.38026m		# type: i, radiative recombination continuum
1417	He 2                8.22307m		# type: i, radiative recombination continuum
1418	He 2                9.11143m		# type: i, radiative recombination continuum
1419	He 2                10.0454m		# type: i, radiative recombination continuum
1420	He 2                11.0248m		# type: i, radiative recombination continuum
1421	He 2                12.0499m		# type: i, radiative recombination continuum
1422	He 2                13.1205m		# type: i, radiative recombination continuum
1423	He 2                14.2366m		# type: i, radiative recombination continuum
1424	Li 3                101.249A		# type: i, radiative recombination continuum
1425	Li 3                405.011A		# type: i, radiative recombination continuum
1426	Li 3                405.011A		# type: i, radiative recombination continuum
1427	Li 3                911.278A		# type: i, radiative recombination continuum
1428	Li 3                911.278A		# type: i, radiative recombination continuum
1429	Li 3                911.278A		# type: i, radiative recombination continuum
1430	Li 3                1620.06A		# type: i, radiative recombination continuum
1431	Li 3                1620.06A		# type: i, radiative recombination continuum
1432	Li 3                1620.06A		# type: i, radiative recombination continuum
1433	Li 3                1620.06A		# type: i, radiative recombination continuum
1434	Li 3                2530.61A		# type: i, radiative recombination continuum
1435	Li 3                2530.61A		# type: i, radiative recombination continuum
1436	Li 3                2530.61A		# type: i, radiative recombination continuum
1437	Li 3                2530.61A		# type: i, radiative recombination continuum
1438	Li 3                2530.61A		# type: i, radiative recombination continuum
1439	Li 3                3644.16A		# type: i, radiative recombination continuum
1440	Li 3                4960.16A		# type: i, radiative recombination continuum
1441	Be 4                56.9470A		# type: i, radiative recombination continuum
1442	Be 4                227.802A		# type: i, radiative recombination continuum
1443	Be 4                227.802A		# type: i, radiative recombination continuum
1444	Be 4                512.558A		# type: i, radiative recombination continuum
1445	Be 4                512.558A		# type: i, radiative recombination continuum
1446	Be 4                512.558A		# type: i, radiative recombination continuum
1447	Be 4                911.230A		# type: i, radiative recombination continuum
1448	Be 4                911.230A		# type: i, radiative recombination continuum
1449	Be 4                911.230A		# type: i, radiative recombination continuum
1450	Be 4                911.230A		# type: i, radiative recombination continuum
1451	Be 4                1423.82A		# type: i, radiative recombination continuum
1452	Be 4                1423.82A		# type: i, radiative recombination continuum
1453	Be 4                1423.82A		# type: i, radiative recombination continuum
1454	Be 4                1423.82A		# type: i, radiative recombination continuum
1455	Be 4                1423.82A		# type: i, radiative recombination continuum
1456	Be 4                2049.66A		# type: i, radiative recombination continuum
1457	Be 4                2789.91A		# type: i, radiative recombination continuum
1458	B  5                36.4417A		# type: i, radiative recombination continuum
1459	B  5                145.782A		# type: i, radiative recombination continuum
1460	B  5                145.782A		# type: i, radiative recombination continuum
1461	B  5                328.012A		# type: i, radiative recombination continuum
1462	B  5                328.012A		# type: i, radiative recombination continuum
1463	B  5                328.012A		# type: i, radiative recombination continuum
1464	B  5                583.147A		# type: i, radiative recombination continuum
1465	B  5                583.147A		# type: i, radiative recombination continuum
1466	B  5                583.147A		# type: i, radiative recombination continuum
1467	B  5                583.147A		# type: i, radiative recombination continuum
1468	B  5                911.187A		# type: i, radiative recombination continuum
1469	B  5                911.187A		# type: i, radiative recombination continuum
1470	B  5                911.187A		# type: i, radiative recombination continuum
1471	B  5                911.187A		# type: i, radiative recombination continuum
1472	B  5                911.187A		# type: i, radiative recombination continuum
1473	B  5                1312.13A		# type: i, radiative recombination continuum
1474	B  5                1785.98A		# type: i, radiative recombination continuum
1475	C  6                25.3032A		# type: i, radiative recombination continuum
1476	C  6                101.228A		# type: i, radiative recombination continuum
1477	C  6                101.228A		# type: i, radiative recombination continuum
1478	C  6                227.766A		# type: i, radiative recombination continuum
1479	C  6                227.766A		# type: i, radiative recombination continuum
1480	C  6                227.766A		# type: i, radiative recombination continuum
1481	C  6                404.933A		# type: i, radiative recombination continuum
1482	C  6                404.933A		# type: i, radiative recombination continuum
1483	C  6                404.933A		# type: i, radiative recombination continuum
1484	C  6                404.933A		# type: i, radiative recombination continuum
1485	C  6                632.727A		# type: i, radiative recombination continuum
1486	C  6                632.727A		# type: i, radiative recombination continuum
1487	C  6                632.727A		# type: i, radiative recombination continuum
1488	C  6                632.727A		# type: i, radiative recombination continuum
1489	C  6                632.727A		# type: i, radiative recombination continuum
1490	C  6                911.149A		# type: i, radiative recombination continuum
1491	C  6                1240.20A		# type: i, radiative recombination continuum
1492	C  6                1619.88A		# type: i, radiative recombination continuum
1493	C  6                2049.52A		# type: i, radiative recombination continuum
